[00:00.000 --> 00:02.000]  Abonnez-vous !
[01:54:33.000 --> 01:54:37.000]  Pas forcément. Là il y a des jurisprudences contradictoires d'ailleurs à ce sujet.
[01:54:37.000 --> 01:54:50.000]  Ça veut dire que vous devez bien entendu dire au vendeur, sans délai, sans attendre une petite semaine, s'il est 23h30, oui ça attendra le lendemain matin, mais pas le lendemain après-midi.
[01:54:50.000 --> 01:54:59.000]  Si vous avez une offre au prix, c'est-à-dire une offre qui répond exactement à la demande du vendeur, bien entendu vous devez le dire tout de suite au vendeur, mais également si vous avez une offre à un autre prix.
[01:54:59.000 --> 01:55:06.000]  Parce que ça correspond au mandat concier dans la mesure où c'est une offre sur la chose commercialisée à un autre prix, potentiellement.
[01:55:06.000 --> 01:55:08.000]  Mais vous devez la transmettre au vendeur.
[01:55:08.000 --> 01:55:13.000]  Donc il n'y a pas cette annerie que j'ai entendu mille fois et que j'ai vu mille fois sur internet.
[01:55:13.000 --> 01:55:22.000]  Non, non, non, c'est l'agent immobilier qui décide s'il transmet une offre et éventuellement quelle offre il transmet, à savoir la meilleure.
[01:55:22.000 --> 01:55:27.000]  Non, toute proposition. Si vous avez trois offres, vous devez transmettre les trois offres.
[01:55:28.000 --> 01:55:31.000]  Dixième, à transmettre dans un délai raisonnable.
[01:55:31.000 --> 01:55:34.000]  Là, vous voyez, on n'est pas dans les meilleurs délais, on est dans un délai raisonnable.
[01:55:34.000 --> 01:55:40.000]  Tous les fonds et documents revenant à leur mandant, quoi ou le mandant eux-mêmes, soit tout mandataire que ces derniers leur désigne.
[01:55:40.000 --> 01:55:43.000]  Alors les fonds, ça ne nous concerne pas parce que nous ne récoltons pas de…
[01:55:43.000 --> 01:55:45.000]  Les fonds, c'est des sommes d'argent.
[01:55:45.000 --> 01:55:50.000]  Nous ne récoltons pas de sommes d'argent, à savoir pas de séquestre, pas de dépôt de garantie, rien du tout.
[01:55:50.000 --> 01:55:52.000]  Donc ça, ça ne nous concerne pas.
[01:55:52.000 --> 01:55:56.000]  Mais les éventuels documents, vous pouvez collecter pour votre vente des documents, c'est-à-dire des dires.
[01:55:56.000 --> 01:55:59.000]  Alors aujourd'hui, tout se fait par email. On nous transmet des copies par email.
[01:55:59.000 --> 01:56:02.000]  Donc ça n'est plus trop d'actualité.
[01:56:02.000 --> 01:56:11.000]  Mais parfois, le vendeur peut vous donner la taxoncière, peut vous donner le DPE, peut vous donner le titre de propriété sur sa forme originale.
[01:56:11.000 --> 01:56:17.000]  Vous devez le rendre derrière. Vous devez le rendre dans un délai raisonnable, c'est-à-dire pas le jour même.
[01:56:17.000 --> 01:56:21.000]  Mais vous ne pouvez pas le faire pouvoir ôter des années, bien entendu.
[01:56:21.000 --> 01:56:28.000]  Alors au mandant eux-mêmes, soit tout mandataire, c'est-à-dire autre personne que le vendeur vous désignerez.
[01:56:28.000 --> 01:56:32.000]  Donnez ça à mes enfants, donnez ça à mon notaire, donnez ça à ma secrétaire.
[01:56:32.000 --> 01:56:38.000]  Alors est-ce qu'il y a... attendez parce qu'il y a quelques questions qui ont été posées, donc on va les lire tout de suite.
[01:56:38.000 --> 01:56:45.000]  Ah, Sandrine nous dit, en parlant d'alliance, j'ai renégocié le tarif car il voulait m'augmenter.
[01:56:45.000 --> 01:56:52.000]  Comme j'avais reçu une offre beaucoup plus basse par l'Aknassim, il m'a baissé ma cotisation à voir pour renégocier pour les copains et copines.
[01:56:52.000 --> 01:56:56.000]  Oui, alors ça on en avait parlé éventuellement de l'Aknassim. On peut en reparler au cours d'une autre vidéo du jeudi.
[01:56:56.000 --> 01:57:05.000]  Ce que je vous propose Sandrine, c'est qu'on en reparne, soit avec l'animation, soit quand on se voit avec Géraldine pour la visioconférence sur la montée en gamme.
[01:57:05.000 --> 01:57:09.000]  Mais reparne-nous de cette question parce que effectivement ça peut intéresser tout le monde.
[01:57:09.000 --> 01:57:17.000]  Marc nous dit, je confirme le 5 novembre 2020 pour la formation Loi Allure, la déontologie, c'était aussi intéressant.
[01:57:17.000 --> 01:57:18.000]  Oui, oui, tout à fait.
[01:57:18.000 --> 01:57:21.000]  Doit-on transmettre les offres d'achat orales ?
[01:57:21.000 --> 01:57:24.000]  Le 2 mondiais disent, ah, question très très pertinente. Pourquoi ?
[01:57:24.000 --> 01:57:32.000]  Parce qu'une offre d'achat orale n'a aucune valeur légale. Elle n'a pas de valeur.
[01:57:32.000 --> 01:57:40.000]  Parce qu'elle n'emporte pas le consentement de la personne, non pas parce que nous sommes en matière immobilière, c'est pas ça.
[01:57:40.000 --> 01:57:47.000]  C'est parce que ça concerne des montants à partir desquels la preuve se fait obligatoirement par écrit.
[01:57:47.000 --> 01:57:54.000]  C'est le code 60. À partir d'un certain montant, je ne sais plus si c'est 3 000 euros, 5 000 euros, je ne sais plus.
[01:57:54.000 --> 01:57:58.000]  On va chercher tout de suite sur Internet parce que c'est quelque chose qui avait évolué une première fois lors du passage à l'euro.
[01:57:58.000 --> 01:58:04.000]  Ça a été que lors du passage à l'euro, le législateur a dû convertir toutes les sommes, les amendes, les machins, etc.
[01:58:04.000 --> 01:58:11.000]  qui étaient sur des chiffres ronds, des montants ronds en francs.
[01:58:11.000 --> 01:58:14.000]  Il a fallu les convertir, ça a pris du temps, en montants ronds en euros.
[01:58:14.000 --> 01:58:19.000]  Par exemple, une amende à 15 000 francs, il fallait la convertir dans une amende en euros qui corresponde.
[01:58:19.000 --> 01:58:23.000]  Donc il y a eu une première conversion au moment du passage à l'euro et ensuite, quelques années plus tard,
[01:58:23.000 --> 01:58:27.000]  ça a été augmenté pour tout simplement mettre à jour par rapport à l'inflation.
[01:58:27.000 --> 01:58:30.000]  Donc on va chercher tout de suite le montant à partir du...
[01:58:30.000 --> 01:58:36.000]  Alors on met dans Google montant, preuve par écrit.
[01:58:36.000 --> 01:58:39.000]  Ça c'est un genre du droit qui s'appelle le droit de la preuve.
[01:58:39.000 --> 01:58:42.000]  C'est un petit peu...
[01:58:42.000 --> 01:58:45.000]  ...pure et barbatif, ce n'est pas compliqué.
[01:58:47.000 --> 01:58:52.000]  Et ben voilà, c'est 1500 euros aujourd'hui, documents à créer obligatoires tout à fait jeunis.
[01:58:52.000 --> 01:58:55.000]  Donc c'est 1500 euros désormais.
[01:58:55.000 --> 01:58:59.000]  Ça a été longtemps, longtemps, longtemps, longtemps, longtemps, quand j'étais étudiant,
[01:58:59.000 --> 01:59:03.000]  il me semble que c'était 800 francs et ensuite c'est passé à 3000 francs, je crois, je ne sais plus.
[01:59:03.000 --> 01:59:05.000]  Donc on ne sait rien.
[01:59:05.000 --> 01:59:08.000]  Donc c'est 1500 euros, c'est ici.
[01:59:09.000 --> 01:59:15.000]  Admissibilité des modes de la preuve, article 1358 à 1362, c'est ce qu'on appelle le droit de la preuve.
[01:59:15.000 --> 01:59:21.000]  C'est intéressant, pour être rigolo, lisez ça si vous ennuyez pour vous endormir le soir.
[01:59:21.000 --> 01:59:24.000]  Alors, ce n'est pas parce qu'on est en matière immobilière qu'ils font ennuigri,
[01:59:24.000 --> 01:59:28.000]  c'est parce qu'on est sur des enjeux supérieurs à 1500 euros.
[01:59:28.000 --> 01:59:33.000]  Et ça veut dire que tout ce qui porte au-dessus de 1500 euros d'enjeux, de contrats,
[01:59:33.000 --> 01:59:36.000]  si on n'a pas d'écrit, il n'y a pas de preuve.
[01:59:36.000 --> 01:59:39.000]  Ce sont des paroles en l'air, ce sont des paroles dans le vent.
[01:59:39.000 --> 01:59:46.000]  Donc on pourrait dire, il nous faut obligatoirement une offre d'achat écrite pour aller voir le vendeur.
[01:59:46.000 --> 01:59:53.000]  Parce que derrière, si c'est une offre d'achat orale, l'acquérreur n'est pas engagé.
[01:59:53.000 --> 01:59:56.000]  Et c'est vrai, l'acquérreur n'est pas engagé du tout, donc on ne peut rien faire,
[01:59:56.000 --> 01:59:57.000]  qu'autre signer au vendeur.
[01:59:57.000 --> 02:00:00.000]  Donc, ça ne sert à rien d'aller lui parler d'une offre orale,
[02:00:00.000 --> 02:00:02.000]  puisque l'acquérreur derrière pourra dire,
[02:00:02.000 --> 02:00:04.000]  non, je n'ai jamais dit tel montant, j'ai dit un autre montant,
[02:00:04.000 --> 02:00:06.000]  ah, je n'ai pas d'écrit pour le prouver.
[02:00:06.000 --> 02:00:09.000]  Ou non, je n'ai fait aucune offre, ah, je n'ai rien pour le prouver.
[02:00:09.000 --> 02:00:14.000]  On sera incapables de rapporter la preuve de cette proposition de l'acquérreur.
[02:00:14.000 --> 02:00:16.000]  Donc, travail pour rien.
[02:00:16.000 --> 02:00:19.000]  Mais, mais, mais, mais, mais, mais, mais, mais, mais.
[02:00:19.000 --> 02:00:24.000]  Ah, on peut se poser la question,
[02:00:24.000 --> 02:00:28.000]  est-ce que ça fait partie des informations que je dois loyalement à mon vendeur ?
[02:00:28.000 --> 02:00:30.000]  Oui, oui, oui, oui.
[02:00:30.000 --> 02:00:33.000]  Alors, peut-on avoir le lien, s'il vous plaît ?
[02:00:33.000 --> 02:00:35.000]  Oh, bon, oui, je vais vous le redonner.
[02:00:35.000 --> 02:00:38.000]  Le lien sur le droit de la preuve, je vais vous remettre ici,
[02:00:38.000 --> 02:00:44.000]  on avait tapé montant preuve par écrit.
[02:00:44.000 --> 02:00:48.000]  Et hop, Eric, là c'est Eric de Narbonne,
[02:00:48.000 --> 02:00:52.000]  qui apparemment a des soucis pour s'endormir le soir,
[02:00:52.000 --> 02:00:56.000]  se dit tiens, moi, je vais faire un peu de droit de la preuve.
[02:00:56.000 --> 02:00:58.000]  Boum, je vous l'ai envoyé à tout le monde.
[02:01:02.000 --> 02:01:08.000]  Donc, est-ce que je dois cette information à mon vendeur ?
[02:01:08.000 --> 02:01:10.000]  Oui, loyalement je lui dois toute information.
[02:01:10.000 --> 02:01:13.000]  Donc, éventuellement, si quelqu'un fait une offre, je dois lui...
[02:01:13.000 --> 02:01:15.000]  je dois lui dire, et bien c'est exactement ça,
[02:01:15.000 --> 02:01:19.000]  je dois lui dire et pas forcément lui transmettre.
[02:01:19.000 --> 02:01:20.000]  Ça veut dire quoi ?
[02:01:20.000 --> 02:01:23.000]  Ça veut dire que si j'ai une offre écrite, là je dois aller voir le vendeur
[02:01:23.000 --> 02:01:26.000]  et je dois lui présenter l'offre, qui est l'acquérreur, pourquoi, comment,
[02:01:26.000 --> 02:01:29.000]  pourquoi il a fait ce montant-là et je dois essayer d'obtenir
[02:01:29.000 --> 02:01:33.000]  soit son consentement, soit une contre-proposition pour mener ma négociation.
[02:01:33.000 --> 02:01:37.000]  Là, j'ai de quoi travailler, je lui présente une offre.
[02:01:37.000 --> 02:01:41.000]  C'est pas pareil si j'ai une offre orale dans le vent,
[02:01:41.000 --> 02:01:43.000]  un acquérreur qui vient, qui regarde, qui dit,
[02:01:43.000 --> 02:01:47.000]  oh, bah j'en donnerai bien, alors vous vous faites visiter ces 600 000 euros,
[02:01:47.000 --> 02:01:49.000]  j'en donnerai bien 500.
[02:01:49.000 --> 02:01:53.000]  Vous devez lui faire écrire.
[02:01:53.000 --> 02:01:57.000]  Très bien monsieur, pour que votre offre ait une quelconque valeur,
[02:01:57.000 --> 02:02:00.000]  je dois vous la faire écrire pour la présenter au vendeur.
[02:02:00.000 --> 02:02:03.000]  D'ailleurs, ça va vous permettre tout de suite de juger du sérieux de votre acquérreur,
[02:02:03.000 --> 02:02:05.000]  soit il vous dit oui, oui, très bien,
[02:02:05.000 --> 02:02:08.000]  et là vous rentrez dans le processus d'explication de l'offre,
[02:02:08.000 --> 02:02:12.000]  pourquoi 500 000 euros, est-ce que c'est par rapport à l'audit énergétique,
[02:02:12.000 --> 02:02:14.000]  associé à cela, je ne sais pas quoi,
[02:02:14.000 --> 02:02:18.000]  et là vous voyez l'acquérreur qui l'a expliqué défendre son offre,
[02:02:18.000 --> 02:02:22.000]  ou bien il vous dit non, non, non, non, c'est pas orale, c'est pas par écrit,
[02:02:22.000 --> 02:02:26.000]  d'abord, allez présenter ça au vendeur par orale, et puis on verra après.
[02:02:26.000 --> 02:02:29.000]  Et là, vous lui dites à l'acquérreur, non, j'irai pas présenter une offre
[02:02:29.000 --> 02:02:33.000]  et défendre une offre par orale, j'en parlerai au vendeur, oui,
[02:02:33.000 --> 02:02:37.000]  quand j'en aurai l'occasion, quand je l'aurai au téléphone.
[02:02:38.000 --> 02:02:42.000]  Quand je ferai un rapport fin de semaine prochaine sur toutes les visites de la semaine,
[02:02:42.000 --> 02:02:49.000]  je lui dirai, ah au fait, il y a quelqu'un qui a fait une offre orale à 500 000 euros, c'est tout.
[02:02:50.000 --> 02:02:53.000]  Vous voyez la différence entre aller présenter une offre écrite
[02:02:53.000 --> 02:02:58.000]  sur laquelle on peut travailler parce que c'est un mode de preuve régulier,
[02:02:58.000 --> 02:03:01.000]  et une offre orale qu'on n'arrive pas à faire écrire à l'acquérreur
[02:03:01.000 --> 02:03:03.000]  parce que c'est un type pas sérieux,
[02:03:03.000 --> 02:03:06.000]  il balance ça comme ça pour faire son malin devant sa copine,
[02:03:06.000 --> 02:03:10.000]  et là on lui dit non, je lui en parlerai, mais vous en parlerez au vendeur
[02:03:10.000 --> 02:03:12.000]  parce que vous lui devez cette information par loyauté,
[02:03:12.000 --> 02:03:15.000]  vous devez lui dire, ah au fait, il y a un type qui est venu visiter la semaine dernière,
[02:03:15.000 --> 02:03:19.000]  il a proposé 500 000 euros, mais c'était par orale, il a rien voulu écrire,
[02:03:19.000 --> 02:03:22.000]  c'était juste comme ça pour faire le malin devant sa copine.
[02:03:22.000 --> 02:03:25.000]  Donc vous donnerez cette information au vendeur parce que vous lui devez,
[02:03:25.000 --> 02:03:28.000]  comme ça, ça permettra quand même au vendeur de dire, ah,
[02:03:28.000 --> 02:03:33.000]  il y a personne qui fait des offres écrites, on n'offre 500 000 par orale,
[02:03:33.000 --> 02:03:36.000]  c'est une information qui peut avoir une utilité pour lui.
[02:03:36.000 --> 02:03:40.000]  Vous, ça vous sera peut-être utile d'ailleurs pour revenir négocier plus tard une baisse de prix,
[02:03:40.000 --> 02:03:43.000]  on va dire, voilà, la seule offre qu'on a eue, c'est 500 000, c'était orale, ça n'allait nulle part,
[02:03:43.000 --> 02:03:49.000]  voyez bien que le prix, je vous le dis depuis le démarrage, on est à côté, on n'est pas dans les clous.
[02:03:49.000 --> 02:03:53.000]  Donc c'est une information que vous finirez par donner au vendeur,
[02:03:53.000 --> 02:03:56.000]  non pas sans délai comme on vient de le voir,
[02:03:56.000 --> 02:03:59.000]  vous rendrez compte au vendeur parce que vous devez,
[02:03:59.000 --> 02:04:02.000]  on vient de le voir, rendre compte au vendeur de l'exécution de votre mission,
[02:04:02.000 --> 02:04:05.000]  vous lui direz, au fait, j'ai eu une offre à 500 000 euros,
[02:04:05.000 --> 02:04:10.000]  je vous donne cette information, loyalement, fidèlement, sincèrement, en toute transparence,
[02:04:10.000 --> 02:04:13.000]  mais c'était un truc orale, ça n'allait nulle part.
[02:04:13.000 --> 02:04:18.000]  Diférence entre donner l'info et transmettre et défendre une offre.
[02:04:20.000 --> 02:04:25.000]  Hum, on en était où ? Conflux d'intérêt.
[02:04:27.000 --> 02:04:30.000]  Les personnes mentionnées à l'article premier, je vais descendre un petit peu,
[02:04:30.000 --> 02:04:33.000]  veillent à ne pas se trouver, excusez-moi,
[02:04:33.000 --> 02:04:39.000]  en conflit d'intérêt avec leur mandant ou avec les autres partis aux opérations pour lesquelles elles ont été mandatées.
[02:04:39.000 --> 02:04:44.000]  Elles veillent à ce que l'exercice d'activité annexe ou connexe n'engendre aucun conflit d'intérêt.
[02:04:44.000 --> 02:04:49.000]  Elles s'obligent notamment à ne pas acquérir en partis ou en totalité,
[02:04:49.000 --> 02:04:54.000]  ni faire acquérir par un proche ou un organisme quelconque dans lequel elle déteindrait une participation,
[02:04:54.000 --> 02:04:57.000]  un bien immobilier pour lequel un mandat leur a été confié,
[02:04:57.000 --> 02:05:00.000]  sauf à informer leur mandant de leur projet,
[02:05:00.000 --> 02:05:07.000]  à informer l'acquérir de leur qualité en cas de mise en vente d'un bien qui leur appartient en totalité ou en partie,
[02:05:07.000 --> 02:05:15.000]  à ne pas accepter d'évaluer un bien dans lequel elle possède ou envisage d'acquérir des intérêts sauf à offert état dans leur avis de valeur,
[02:05:15.000 --> 02:05:22.000]  à ne pas percevoir de rémunération ou davantage de quelque nature que ce soit,
[02:05:22.000 --> 02:05:29.000]  au titre des dépenses engagées pour le compte d'un mandant sans avoir au préalable obtenu l'accord de celui-ci sur l'engagement des dépenses,
[02:05:29.000 --> 02:05:36.000]  les modalités de choix des fournisseurs et la facturation de leurs produits ou services devant être transparents,
[02:05:36.000 --> 02:05:42.000]  à informer leur mandant et les autres partis aux opérations pour lesquelles elles ont été mandatées,
[02:05:42.000 --> 02:05:47.000]  de la possibilité et des raisons d'un conflit d'intérêt avec eux ou entre eux,
[02:05:47.000 --> 02:05:54.000]  et notamment des liens directs de nature capitalistique ou juridique qu'elles ont ou que leurs directeurs d'établissement ou leur collaborateur habilité
[02:05:54.000 --> 02:05:58.000]  ont avec les entreprises, les établissements bancaires ou les sociétés financières dont elles proposent des services,
[02:05:58.000 --> 02:06:03.000]  et plus généralement de l'existence d'un intérêt personnel direct ou indirect dans l'exécution de leur mission.
[02:06:03.000 --> 02:06:08.000]  Oui, bientôt terminé, regardez, on arrive ici, on est au bout.
[02:06:08.000 --> 02:06:10.000]  Qu'est-ce que ça nous dit ici ?
[02:06:10.000 --> 02:06:16.000]  Eh bien vous devez faire toujours très attention à ce que votre intérêt à vous, notamment financier,
[02:06:16.000 --> 02:06:21.000]  ne rentre pas en conflit avec l'intérêt de votre mandant.
[02:06:21.000 --> 02:06:27.000]  Le mandant vous a confié une mission, vous devez défendre ces intérêts et les intérêts des acquéreurs, pas défendre les vôtres avant tout.
[02:06:27.000 --> 02:06:33.000]  C'est-à-dire que si vous, votre intérêt pour vos honoraires, mais également, et c'est ce qu'on voit par la suite,
[02:06:34.000 --> 02:06:41.000]  vos honoraires ou parce que vous touchez des commissions potentiellement par d'autres prestataires qui font des travaux notamment,
[02:06:41.000 --> 02:06:49.000]  qui vont installer une fausse sceptique ou que sais-je, vous poussent à favoriser votre intérêt financier à vous,
[02:06:49.000 --> 02:06:53.000]  au détriment de votre client, vous devez vous en absonner absolument.
[02:06:53.000 --> 02:07:01.000]  Vous devez avant tout suivre l'intérêt de votre client et veiller à ce que vos intérêts à vous ne viennent pas le contredire
[02:07:01.000 --> 02:07:07.000]  parce que vous seriez bien entendu tenté de faire primer vos intérêts personnels.
[02:07:07.000 --> 02:07:15.000]  Notamment, vous ne pouvez pas, vous ne devez pas acheter ou vendre un bien pour votre propre compte.
[02:07:15.000 --> 02:07:23.000]  Il est écrit ici, sauf à informer le mandant de votre projet. Dans le contrat que nous avons signé, nous, en plus de ça, nous vous l'interdisons.
[02:07:23.000 --> 02:07:31.000]  Parce que bien entendu, ça vous obligerait à faire primer votre intérêt à vous au détriment de l'intérêt du vendeur ou de l'acquireur.
[02:07:31.000 --> 02:07:36.000]  Donc ça, en plus du code de déontologie, nous vous l'interdisons dans le contrat.
[02:07:36.000 --> 02:07:43.000]  Et également, si vous vendez votre propre produit, vous devez informer l'acquireur, dire attention, c'est ma maison que je suis en train de vous vendre.
[02:07:43.000 --> 02:07:49.000]  Mais là encore chez la lucarne de l'immobilier, si vous voulez vendre votre maison, nous vous interdisons de le faire vous-même.
[02:07:49.000 --> 02:07:55.000]  Par contre, vous ne vous interdis pas que ça passe par la lucarne, mais vous devez le faire par un camarade de la lucarne.
[02:07:55.000 --> 02:08:01.000]  C'est-à-dire, vous devez confier le mandat à un autre négociateur de la lucarne, ce n'est pas vous qui faites la vente.
[02:08:01.000 --> 02:08:12.000]  Et cet autre négociateur de la lucarne devra dire attention, monsieur l'acquireur, ce bien est vendu par un de mes camarades de la lucarne.
[02:08:13.000 --> 02:08:18.000]  Donc, je suis aussi objectif que possible, mais vous devez quand même savoir ça.
[02:08:18.000 --> 02:08:25.000]  Ne pas accepter d'évaluer un bien dans lequel vous avez des participations, même des participations indirectes.
[02:08:25.000 --> 02:08:35.000]  Il a été dit encore, sauf lorsque vous l'écrivez noir sur blanc dans l'avis de valeur, nous vous l'interdisons par principe.
[02:08:35.000 --> 02:08:41.000]  Ne pas percevoir de rémunération ou davantage de quelque nature que ce soit au titre des dépenses engagées pour le compte d'amendance.
[02:08:41.000 --> 02:08:54.000]  C'est-à-dire que vous ne devez pas, soit parce que ça passe par vous, soit parce que ça ne passe pas par vous, récupérer des rémunérations ou des avantages de quelque nature que ce soit.
[02:08:54.000 --> 02:09:06.000]  Des cadeaux, notamment des tarifs négociés chez différents prestataires, sans avoir obtenu l'accord du client sur les montants exacts et sur ce que ça représente exactement.
[02:09:06.000 --> 02:09:10.000]  Où est-ce qu'on a ça typiquement ? On a ça pour les travaux.
[02:09:10.000 --> 02:09:20.000]  Lorsque le vendeur vous dit, j'achète telle maison, est-ce que vous pouvez me trouver un pisciniste pour faire mettre la piscine ?
[02:09:20.000 --> 02:09:25.000]  Et occupez-vous-en éventuellement.
[02:09:25.000 --> 02:09:34.000]  Moi, je paierai quelqu'un qui derrière va vous donner une rétrocommission ou des cadeaux ou quoi que ce soit.
[02:09:34.000 --> 02:09:37.000]  Ça vous devez vous en abstenir parce que vous êtes sûr que vous allez finir au tribunal.
[02:09:37.000 --> 02:09:45.000]  Il est écrit ici, sauf après avoir obtenu au préalable accord de ce client sur les dépenses, les modalités de choix des fournisseurs, la facturation.
[02:09:45.000 --> 02:09:52.000]  C'est très compliqué à contre-actualiser tout ça. Ne le faites pas. Vous êtes sûr que ça va vous retomber dans le tête.
[02:09:52.000 --> 02:09:58.000]  Contractualiser ça de manière fiable, c'est quasi impossible. Vous êtes sûr que ça va finir au tribunal.
[02:09:58.000 --> 02:10:06.000]  Dernièrement, informez les mandants et autres partis d'opérations pour lesquels vous demandez la possibilité et raison d'un conflit d'intérêt avec eux ou entre eux.
[02:10:06.000 --> 02:10:13.000]  En gros, dès que vous voyez une possibilité de conflit d'intérêt, vous devez tirer la sonnette d'alarme et dire attention, là va y avoir un problème, notamment avec la banque.
[02:10:13.000 --> 02:10:17.000]  Parce que je touche une commission ou parce que je ne touche pas de commission.
[02:10:17.000 --> 02:10:21.000]  Avec tel fournisseur, parce que je touche une commission ou que je ne touche pas de commission.
[02:10:21.000 --> 02:10:24.000]  Mais là, il risque d'y avoir un conflit d'intérêt. Je vous alerte.
[02:10:24.000 --> 02:10:32.000]  Et ça, ça va se faire bien entendu par écrit. Donc là encore, lorsque vous avez un cas comme celui-là, vous devez l'écrire.
[02:10:32.000 --> 02:10:41.000]  Mais avant tout, contactez la lucarne et on vous aidera et on fera en sorte que le vendeur soit informé de la bonne manière.
[02:10:41.000 --> 02:10:45.000]  C'est très, très, très important. Et là, on arrive à la fin, ça va aller vite.
[02:10:45.000 --> 02:10:53.000]  Donc ceux d'entre vous qui doivent partir pour pouvoir y aller, confraternité, ça veut dire qu'on ne s'engueule pas avec les copains.
[02:10:53.000 --> 02:11:03.000]  Dans l'exercice de leurs activités, les personnes mentionnées à l'article premier entretiennent entre elles des rapports de confraternité dans le cadre d'une concurrence libre, saine et loyale.
[02:11:03.000 --> 02:11:11.000]  Là, on va avoir côté particulier à Saint-Paul-sur-Terne-Ouest qui va ressentir parce qu'ils ne sont pas sains ni loyaux.
[02:11:11.000 --> 02:11:18.000]  Elles s'abstiennent de toutes paroles ou actions blessantes ou malveillantes, de toutes démarches ou manoeuvres chépites de nuire à leurs confrères.
[02:11:18.000 --> 02:11:22.000]  Souvenez-vous que l'Athenaï m'a fait rédiger ça au moment où ils essaient de nous faire interdire.
[02:11:22.000 --> 02:11:41.000]  N'oubliez pas ça. Les dénigrés ou les discrédités, quand ils sont racontés, notamment quand l'Athenaï m'a fait croire que la dirigeante de la Lucarme Nelly avait fait de la prison et qu'elle n'avait pas la carte professionnelle nécessaire pour diriger la Lucarme, pas le droit de les dénigrer ou les discréditer, bande de salopard.
[02:11:41.000 --> 02:11:48.000]  Elles évitent tout conflit avec leurs confrères qui puissent vivre aux intérêts des mandants et autres partis aux opérations pour lesquelles elles ont été mandatées.
[02:11:48.000 --> 02:11:53.000]  Elles s'interdisent d'inciter les prospects ou les clients d'un confrère à rompre leur relation commerciale avec ce dernier.
[02:11:53.000 --> 02:11:58.000]  Elles s'abstiennent de fournir des éléments d'appréciation erronés en vue de détourner la clientèle à leur profit.
[02:11:58.000 --> 02:12:03.000]  Elles ne peuvent émettre un avis sur les pratiques professionnelles d'un confrère sans avoir été préalablement saisi d'une demande d'avis.
[02:12:03.000 --> 02:12:08.000]  Elles doivent faire preuve de prudence, de mesure et de tacte dans la vie qu'elles expriment.
[02:12:08.000 --> 02:12:15.000]  Si elles exercent une fonction syndicale au sein d'un syndicat professionnel ou de toute autre fonction élective ou de représentation, elles s'abstiennent de s'en prévaloir à des fins commerciales.
[02:12:15.000 --> 02:12:25.000]  Si elles ont connaissance d'une atteinte au code de biontologie soumise par un confrère dans l'exercice de sa profession, elles s'abstiennent de faire part de leurs critiques à la clientèle et en réfère immédiatement à leur confrère.
[02:12:25.000 --> 02:12:29.000]  C'est hyper simple et ça vous le comprenez aisément en le lisant.
[02:12:29.000 --> 02:12:33.000]  Premièrement, on s'entend bien avec les copains.
[02:12:33.000 --> 02:12:38.000]  On essaie de collaborer. On ne va pas leur tirer dans les pattes.
[02:12:38.000 --> 02:12:43.000]  Et on organise une concurrence libre, saine et loyale.
[02:12:43.000 --> 02:12:47.000]  C'est-à-dire notamment, on ne fait pas de dumping sur les prix.
[02:12:47.000 --> 02:12:51.000]  Ah lui, il est à 5 000 euros, je vais me mettre à 4 990.
[02:12:51.000 --> 02:12:54.000]  Non, concurrence libre, saine et loyale.
[02:12:54.000 --> 02:13:00.000]  On conserve nos tarifs, même quand on est en concurrence avec un autre qui a des tarifs différents.
[02:13:00.000 --> 02:13:03.000]  On ne parle pas de toutes paroles ou actions blessantes ou malveillantes.
[02:13:03.000 --> 02:13:05.000]  On ne dit pas de saleté sur les copains.
[02:13:05.000 --> 02:13:12.000]  On ne va pas raconter que lui il a fait de la prison, que lui il n'est pas bon, que lui il ne vend rien, que lui il est malhonnête.
[02:13:12.000 --> 02:13:15.000]  On ne les déligre pas, on ne les discrédite pas.
[02:13:15.000 --> 02:13:22.000]  On évite tout conflit avec les confrères, bien entendu, qui puissent tomber sur le nez du client.
[02:13:22.000 --> 02:13:24.000]  C'est-à-dire qu'ils puissent faire foirer la vente.
[02:13:24.000 --> 02:13:28.000]  Et ça, ce sont des cas qu'on rencontre tous les jours.
[02:13:28.000 --> 02:13:32.000]  On va pas faire de kiffoir parce qu'on est dans une concurrence déloyale avec les autres.
[02:13:32.000 --> 02:13:34.000]  Et finalement plus personne ne vend.
[02:13:34.000 --> 02:13:38.000]  On a le cas en ce moment même avec Karine et Vincent d'En Loise,
[02:13:38.000 --> 02:13:45.000]  où le vendeur dit « Bon, allez, stop, ça y est, j'arrête de vendre parce que j'ai deux offres au même moment, les agences peuvent se tirer dans les pattes ».
[02:13:45.000 --> 02:13:49.000]  Elles s'interdisent d'inciter les prospects et les clients à rompre leur relation commerciale.
[02:13:49.000 --> 02:13:51.000]  Ça, c'est le détournement de clientèle.
[02:13:51.000 --> 02:13:55.000]  C'est-à-dire qu'on ne va jamais dire à un client « Non, non, non, non, non, ne fais pas affaire avec Century 21.
[02:13:55.000 --> 02:13:57.000]  Venez me voir moi, je serai moins cher ».
[02:13:57.000 --> 02:14:02.000]  Non. Si le client veut lui s'adresser à vous après d'abord aller voir Century 21,
[02:14:02.000 --> 02:14:08.000]  il a le droit, en condition que ce soit bien lui qui ait pris cette décision et que vous n'ayez eu aucune influence dessus.
