[00:00.000 --> 00:03.000]  Réseau d’agent Mandat
[01:10:47.000 --> 01:10:50.000]  Package service, alors il y a plusieurs package, de machin, etc.
[01:10:50.000 --> 01:10:52.000]  C'est deux mois, voyez ?
[01:10:52.000 --> 01:10:56.000]  Oui, ça apparaissait sur la page des boosters, vous avez raison, on a déjà dit.
[01:10:56.000 --> 01:11:01.000]  Donc, on va revoir un petit peu tous ces avantages parce que c'est très important de savoir ce que c'est.
[01:11:01.000 --> 01:11:11.000]  On va revoir un petit peu tous ces avantages parce que c'est très important que vous connaissiez ces avantages qu'il y a à la Lucarne et qu'il n'y a pas ailleurs parce que vous devez en parler à vos clients.
[01:11:11.000 --> 01:11:18.000]  Vous devez expliquer à vos clients, si vous me conçuez le mandat à moi, votre mandat sera remonté sur le bon coin.
[01:11:18.000 --> 01:11:19.000]  Tout le temps.
[01:11:19.000 --> 01:11:26.000]  Si vous le conçuez à Sarti, il faut que le négociateur sorte son portefeuille, sorte sa carte bleue.
[01:11:26.000 --> 01:11:29.000]  Et s'il estime que votre produit n'est pas au beau prix, il ne paiera pas.
[01:11:29.000 --> 01:11:32.000]  Moi, chez la Lucarne, il n'y a pas de question à se poser.
[01:11:32.000 --> 01:11:34.000]  Il sera remonté, point.
[01:11:34.000 --> 01:11:41.000]  Si vous mettez à la Lucarne, il sera diffusé pendant 15 mois, non pas pendant deux mois et après, il faut que le négociateur sorte sa carte bleue.
[01:11:41.000 --> 01:11:43.000]  Là encore.
[01:11:43.000 --> 01:11:45.000]  Et est-ce qu'il va sortir sa carte bleue pour votre produit ?
[01:11:45.000 --> 01:11:47.000]  Uniquement si votre produit est au beau prix.
[01:11:47.000 --> 01:11:50.000]  S'il estime que votre produit n'est pas au beau prix, il ne sortira pas sa carte bleue.
[01:11:50.000 --> 01:11:51.000]  Moi, il n'y a pas de question à se poser.
[01:11:51.000 --> 01:11:54.000]  Votre mandat sera diffusé pendant 15 mois.
[01:11:54.000 --> 01:11:58.000]  Au bout de 15 mois, s'il n'est pas vendu, on refera un nouveau mandat et on repartira sur 15 mois.
[01:11:58.000 --> 01:12:03.000]  C'est très important que vous ayez tous ces avantages en tête parce qu'ils n'existent pas ailleurs.
[01:12:03.000 --> 01:12:06.000]  Le crayon ne le sait pas, le vendeur ne le sait pas, il ne peut pas le deviner.
[01:12:06.000 --> 01:12:09.000]  Il faut lui expliquer, confiez votre mandat à la Lucarne.
[01:12:09.000 --> 01:12:14.000]  Ce n'est pas la même chose en termes d'exposition au marketing que de le confier à Safty.
[01:12:14.000 --> 01:12:20.000]  Safty, ce sont des gens très bien, ils sont très sympas, mais ils sont très restrictifs dans la diffusion parce que ça coûte cher.
[01:12:20.000 --> 01:12:23.000]  Or Safty, ça vous ne pouvez pas dire au vendeur.
[01:12:23.000 --> 01:12:24.000]  Ils ne voient moins.
[01:12:24.000 --> 01:12:26.000]  C'est avant tout une machine à pognon.
[01:12:26.000 --> 01:12:29.000]  Une machine à pognon.
[01:12:29.000 --> 01:12:37.000]  Ce sont des choses sur lesquelles on reviendra quand Julien aura terminé son apéro.
[01:12:37.000 --> 01:12:41.000]  Pour le faire, un fichier récapitulatif de tous ces avantages à disposition dans les documents.
[01:12:41.000 --> 01:12:44.000]  Ah oui, c'est vrai que ce serait bien de le faire.
[01:12:44.000 --> 01:12:50.000]  Par contre, je ne vais pas m'engager à le faire parce que c'est du gros boulot qui n'est pas dans nos prix.
[01:12:50.000 --> 01:12:52.000]  Mais c'est vrai qu'il faudrait le faire, vous avez raison Sandrine.
[01:12:52.000 --> 01:12:54.000]  C'est vrai, c'est vrai, c'est vrai.
[01:12:54.000 --> 01:12:58.000]  Est-ce que Michael est là parce que j'aimerais lui faire une petite félicitation.
[01:12:58.000 --> 01:13:06.000]  Michael, hier, c'est avant-hier qu'il y a eu l'acte authentique, une vente à 61 000 euros.
[01:13:06.000 --> 01:13:10.000]  Donc bravo à lui, bravo à Michael, 61 000 euros la vente.
[01:13:10.000 --> 01:13:14.000]  Je lui ai fait un virement la nuit dernière de ses honoraires.
[01:13:14.000 --> 01:13:17.000]  Alors c'est 61 000 euros TTC.
[01:13:17.000 --> 01:13:19.000]  61 000 euros TTC.
[01:13:19.000 --> 01:13:29.000]  Je lui ai fait un virement de 54 000 euros.
[01:13:29.000 --> 01:13:34.000]  Si je ne me trompe pas, ce n'est pas compliqué, j'ai qu'à aller vérifier.
[01:13:34.000 --> 01:13:37.000]  J'ai qu'à aller vérifier.
[01:13:40.000 --> 01:13:42.000]  C'est Ticha ça.
[01:13:45.000 --> 01:13:47.000]  On va regarder ensemble.
[01:13:47.000 --> 01:13:51.000]  Donc félicitations parce que ça fait, voilà cool, Julien est revenu.
[01:13:51.000 --> 01:13:54.000]  Quand on parle poignons, Julien, soudainement, il pose son verre et il revient.
[01:13:54.000 --> 01:13:56.000]  Ça, il n'y a plus de problème.
[01:13:57.000 --> 01:14:00.000]  Donc c'est important que je vous montre ça aussi.
[01:14:00.000 --> 01:14:06.000]  Déjà pour féliciter Michael pour cette belle vente, parce que Chapeau à lui, c'est une très belle vente.
[01:14:06.000 --> 01:14:10.000]  Ce n'est pas les records, pas du tout, on s'en est loin même, mais c'est quand même une belle vente.
[01:14:10.000 --> 01:14:17.000]  Ça vous permet de comprendre que ce n'est pas fictif.
[01:14:17.000 --> 01:14:23.000]  Dans l'immobilier, quand on se donne beaucoup de mal, on a vraiment de quoi très bien gagner sa vie.
[01:14:23.000 --> 01:14:26.000]  Donc bravo.
[01:14:29.000 --> 01:14:32.000]  Il faut que je clique là sur les factures payées.
[01:14:32.000 --> 01:14:34.000]  Voilà, facture payée.
[01:14:34.000 --> 01:14:36.000]  Bravo à Michael.
[01:14:36.000 --> 01:14:40.000]  Normalement vous donnez un peu de baume au cœur pour vous dire, ben oui, voilà, si je me donne du mal,
[01:14:40.000 --> 01:14:48.000]  si je rentre dans le programme de monter en gamme, parce que vous imaginez bien qu'il n'a pas fait 61 000 euros sur une petite cabane à 50 000 euros.
[01:14:48.000 --> 01:14:53.000]  Si je rentre dans le programme monter en gamme, que je mets ça en œuvre, que je me donne du mal, il y a vraiment…
[01:14:53.000 --> 01:14:57.000]  Alors tout ce qui est en bleu, ce sont les dossiers payés.
[01:14:57.000 --> 01:15:00.000]  C'est-à-dire qu'on a payé l'argent, tout ce qui est en bleu ici.
[01:15:00.000 --> 01:15:04.000]  Ce qui est en blanc, c'est qu'on attend encore des documents la plupart du temps.
[01:15:04.000 --> 01:15:06.000]  Vous voyez, on attend la facture là.
[01:15:06.000 --> 01:15:11.000]  Ce que vous voyez, le petit truc qui s'appelle facture, là, c'est la facture du négociateur.
[01:15:11.000 --> 01:15:14.000]  Julien dit, je ne me vois pas.
[01:15:14.000 --> 01:15:19.000]  Non, parce qu'en fait Julien, je garde les sous, je ne les lui donne pas.
[01:15:19.000 --> 01:15:23.000]  Attendez, si je fais d'autres facturations, vous allez en voir un petit peu plus.
[01:15:23.000 --> 01:15:27.000]  Donc ça nous, c'est notre outil de suivi des paiements.
[01:15:27.000 --> 01:15:30.000]  C'est-à-dire, joyeux Noël.
[01:15:30.000 --> 01:15:35.000]  C'est-à-dire l'argent qu'on reçoit des notaires et l'argent qu'on paye au négociateur.
[01:15:35.000 --> 01:15:37.000]  Je vais bien vous montrer un petit peu comment ça fonctionne de l'intérieur
[01:15:37.000 --> 01:15:42.000]  pour que vous puissiez voir, comprendre un petit peu comment tout cela marche.
[01:15:42.000 --> 01:15:53.000]  Et vous voyez, à chaque fois, pour pouvoir payer un dossier, on doit avoir l'attestation, l'encaissement.
[01:15:53.000 --> 01:15:58.000]  L'encaissement, si je clique dessus, vous voyez, c'est l'argent qu'on a reçu du notaire.
[01:15:58.000 --> 01:15:59.000]  Alors attendez, voilà.
[01:15:59.000 --> 01:16:04.000]  Et donc là, vous voyez qu'on a reçu 60 931 euros du notaire.
[01:16:04.000 --> 01:16:05.000]  Je zoome.
[01:16:05.000 --> 01:16:08.000]  Hop, là, 60 931 euros du notaire.
[01:16:08.000 --> 01:16:10.000]  On a reçu ça le 19-12.
[01:16:10.000 --> 01:16:18.000]  Et la facture de l'agent, la facture de l'agent, vous voyez exactement combien,
[01:16:18.000 --> 01:16:22.000]  on a versé 54 931.
[01:16:22.000 --> 01:16:23.000]  Ah, nickel.
[01:16:23.000 --> 01:16:27.000]  Donc si c'est un cœur à prendre, précipitez-vous.
[01:16:27.000 --> 01:16:29.000]  Je ne sais pas.
[01:16:29.000 --> 01:16:34.000]  Mais vous voyez, au-delà de félicitations bravo à lui, c'est une belle vente, c'est du beau travail.
[01:16:34.000 --> 01:16:36.000]  Chapeau à lui.
[01:16:36.000 --> 01:16:40.000]  Tout simplement, ça montre que ce n'est pas du fictif.
[01:16:40.000 --> 01:16:41.000]  Ce n'est pas du fictif du tout.
[01:16:41.000 --> 01:16:46.000]  On a les moyens de très, très, très, très bien gagner sa vie dans l'immobilier
[01:16:46.000 --> 01:16:48.000]  quand on se donne beaucoup, beaucoup, beaucoup, beaucoup de mal.
[01:16:48.000 --> 01:16:51.000]  Comment ça se fait qu'il n'y ait pas Julien Bayol, d'ailleurs, là-dedans ?
[01:16:51.000 --> 01:16:53.000]  Je vais vous dire tellement d'argent, Julien.
[01:16:53.000 --> 01:16:57.000]  Déjà, là, Julien, on n'a pas reçu l'argent du notaire ici.
[01:16:57.000 --> 01:17:04.000]  Là, Julien, la vente 81 846, on n'a pas reçu l'argent du notaire.
[01:17:04.000 --> 01:17:08.000]  Donc vous voyez, déjà, là, il y a cette vente qui est pour vous normalement, Julien.
[01:17:08.000 --> 01:17:11.000]  Et il n'y en a pas d'autre à vous.
[01:17:11.000 --> 01:17:14.000]  Entre-temps, je vous fais tellement de virements toute la journée.
[01:17:14.000 --> 01:17:18.000]  Je vous en ai fait combien la nuit dernière, Julien ?
[01:17:18.000 --> 01:17:20.000]  Oui, joyeux Noël, nickel, nickel.
[01:17:20.000 --> 01:17:24.000]  Et bravo, Joseph, je crois, trois ou quatre virements, Julien, la nuit dernière.
[01:17:24.000 --> 01:17:28.000]  Regardez, si je fais Bayol, Julien, il est riche à millions.
[01:17:28.000 --> 01:17:29.000]  C'est lui qu'il faut l'épouser.
[01:17:29.000 --> 01:17:31.000]  Regardez, hop là encore, hop là.
[01:17:31.000 --> 01:17:33.000]  Julien, il est partout.
[01:17:34.000 --> 01:17:36.000]  Donc, félicitations à Michael.
[01:17:36.000 --> 01:17:37.000]  C'est une très, très belle vente.
[01:17:37.000 --> 01:17:38.000]  Bravo à lui.
[01:17:38.000 --> 01:17:43.000]  C'est quelque chose qu'il faut souligner parce que quand on se donne du mal
[01:17:43.000 --> 01:17:46.000]  et qu'on est performant, il faut savoir le reconnaître.
[01:17:46.000 --> 01:17:48.000]  Donc bravo à lui.
[01:17:48.000 --> 01:17:51.000]  Non, il n'y en a qu'un en janvier.
[01:17:52.000 --> 01:17:54.000]  Julien, il est trop riche.
[01:17:54.000 --> 01:17:56.000]  On lui donne trop d'argent.
[01:17:56.000 --> 01:17:58.000]  Beaucoup trop d'argent.
[01:17:58.000 --> 01:18:00.000]  Oh, Hugues aussi, regardez ça.
[01:18:00.000 --> 01:18:03.000]  Il va racheter la lucarne bientôt.
[01:18:03.000 --> 01:18:06.000]  Ça n'arrête jamais.
[01:18:08.000 --> 01:18:10.000]  Donc, vous voyez, tout ce qui est en bleu, c'est payé.
[01:18:10.000 --> 01:18:12.000]  Et à chaque fois que c'est en blanc, c'est parce qu'il vous manque un élément.
[01:18:12.000 --> 01:18:16.000]  Là, il nous manque l'encaissement, c'est-à-dire qu'on a partout de l'argent génitaire.
[01:18:16.000 --> 01:18:18.000]  Et la facture de margerie.
[01:18:18.000 --> 01:18:22.000]  Ici, on a reçu l'argent, mais on n'a pas l'attestation de vente, par exemple.
[01:18:22.000 --> 01:18:24.000]  Et on n'a pas la facture de l'argent.
[01:18:24.000 --> 01:18:27.000]  Ici, pour Julien, on n'a pas reçu l'argent génitaire.
[01:18:27.000 --> 01:18:30.000]  Vous voyez, dès qu'un dossier est complet, on le passe sans paiement.
[01:18:30.000 --> 01:18:33.000]  Plus les droits d'auteur de Zannini.
[01:18:33.000 --> 01:18:35.000]  Pour Hugues, je ne vous raconte pas le fric qui là, c'est clair.
[01:18:35.000 --> 01:18:37.000]  C'est clair.
[01:18:37.000 --> 01:18:39.000]  C'est clair.
[01:18:39.000 --> 01:18:40.000]  OK.
[01:18:40.000 --> 01:18:42.000]  Qu'est-ce qu'on a d'autre comme question à voir?
[01:18:43.000 --> 01:18:46.000]  Là, on a répondu à pas mal de trucs là-dessus.
[01:18:46.000 --> 01:18:48.000]  Ah oui.
[01:18:48.000 --> 01:18:51.000]  RCP et grilles.
[01:18:51.000 --> 01:18:55.000]  On arrive au moment où vous devez nous envoyer vos RCP,
[01:18:55.000 --> 01:19:02.000]  c'est-à-dire vos attestations d'assurance pour l'année 2024.
[01:19:02.000 --> 01:19:03.000]  Vous savez, chaque année, assez fait.
[01:19:03.000 --> 01:19:04.000]  Bravo, Sandrine.
[01:19:04.000 --> 01:19:06.000]  Vous devez nous envoyer votre RCP.
[01:19:06.000 --> 01:19:11.000]  Donc, on va vous envoyer un email à tous, là, bientôt, pour dire les RCP 2024.
[01:19:11.000 --> 01:19:12.000]  Merci de nous les envoyer d'arbre.
[01:19:12.000 --> 01:19:15.000]  On va vous envoyer deux emails, un email en décembre et un email début janvier,
[01:19:15.000 --> 01:19:17.000]  comme on fait chaque année.
[01:19:17.000 --> 01:19:21.000]  Et on doit avoir vos RCP pour le 10 janvier, comme tous les ans.
[01:19:21.000 --> 01:19:22.000]  Si ce n'est pas fait, faites-le.
[01:19:22.000 --> 01:19:24.000]  Si c'est fait, déjà, chapeau.
[01:19:24.000 --> 01:19:25.000]  Merci.
[01:19:25.000 --> 01:19:27.000]  Également, les grilles.
[01:19:27.000 --> 01:19:32.000]  Vous savez que vous pouvez modifier vos grilles d'honoraires pour les ans, début janvier.
[01:19:32.000 --> 01:19:37.000]  Alors, ceux d'entre vous qui sont dans le programme de monter en gamme,
[01:19:37.000 --> 01:19:41.000]  vous pourrez modifier vos grilles même en dehors de ceux de délai.
[01:19:41.000 --> 01:19:46.000]  Parce qu'on revoit dans le programme de monter en gamme les grilles dans le détail.
[01:19:46.000 --> 01:19:51.000]  Donc, vous pourrez les modifier sans avoir ces contraintes de délai.
[01:19:51.000 --> 01:19:54.000]  Ceux d'entre vous qui ne sont pas dans le programme de monter en gamme, déjà,
[01:19:54.000 --> 01:19:55.000]  pourquoi vous n'y êtes pas ?
[01:19:55.000 --> 01:19:57.000]  Vous gagnerez plus d'argent si vous faites.
[01:19:57.000 --> 01:20:01.000]  Et vous pourrez, vous ne pouvez pas, si vous n'êtes pas dans ce programme.
[01:20:01.000 --> 01:20:04.000]  À ce sujet, très rapidement, dans ce programme,
[01:20:04.000 --> 01:20:07.000]  j'ai mis à jour le fichier des grilles concurrentes.
[01:20:07.000 --> 01:20:09.000]  D'ailleurs, il s'appelle 13 novembre.
[01:20:09.000 --> 01:20:11.000]  Il faut que je change son nom.
[01:20:11.000 --> 01:20:13.000]  Je vais changer son nom tout de suite.
[01:20:13.000 --> 01:20:15.000]  Il doit s'appeler 21 décembre.
[01:20:15.000 --> 01:20:21.000]  Donc, attendez, il faut que je déplace ça.
[01:20:21.000 --> 01:20:28.000]  Hop, hop, ceux d'entre vous qui sont intéressés, je l'appelle tout de suite.
[01:20:28.000 --> 01:20:31.000]  21 décembre.
[01:20:31.000 --> 01:20:32.000]  Voilà.
[01:20:32.000 --> 01:20:35.000]  Le fichier des grilles concurrentes, je vous le renvoie à tous
[01:20:35.000 --> 01:20:40.000]  si vous êtes intéressés par le programme de monter en gamme.
[01:20:40.000 --> 01:20:42.000]  Le lien, il est là.
[01:20:42.000 --> 01:20:44.000]  Et copiez le lien Dropbox.
[01:20:44.000 --> 01:20:48.000]  Je vous l'envoie à tous.
[01:20:48.000 --> 01:20:52.000]  C'est le fichier, la première base de travail
[01:20:52.000 --> 01:20:56.000]  d'étude de votre concurrence dans votre secteur.
[01:20:56.000 --> 01:20:59.000]  Avec la liste de vos concurrents,
[01:20:59.000 --> 01:21:02.000]  avec la moyenne des grilles concurrentes,
[01:21:02.000 --> 01:21:04.000]  on fait ça ensemble, on fait ça ensemble.
[01:21:04.000 --> 01:21:06.000]  Les services apportés par vos concurrents
[01:21:06.000 --> 01:21:09.000]  et la liste des biens spectaculaires.
[01:21:09.000 --> 01:21:13.000]  Donc, gardez tous ce fichier côté si vous voulez adhérer à ce programme.
[01:21:13.000 --> 01:21:16.000]  D'ailleurs, en parlant de Julien, il faudrait qu'on prévoit
[01:21:16.000 --> 01:21:20.000]  une petite rencontre supplémentaire là pour avancer un peu plus.
[01:21:20.000 --> 01:21:23.000]  Donc, je vous invite à aller à la liste de vos concurrents.
[01:21:23.000 --> 01:21:29.000]  Une petite rencontre supplémentaire là pour avancer un peu là-dessus.
[01:21:29.000 --> 01:21:33.000]  Sandrine nous dit une question pour la cotisation annuelle Planet Force.
[01:21:33.000 --> 01:21:36.000]  On reçoit un rappel combien de temps avant le 20e anniversaire ?
[01:21:36.000 --> 01:21:38.000]  Vous n'en recevez pas.
[01:21:38.000 --> 01:21:40.000]  Vous n'en recevez pas.
[01:21:40.000 --> 01:21:42.000]  C'est à vous de vous manifester.
[01:21:42.000 --> 01:21:45.000]  Parce que les agents qui payent annuellement sont en minorité
[01:21:45.000 --> 01:21:48.000]  et on n'a pas mis en place un système de rappel.
[01:21:48.000 --> 01:21:50.000]  Donc, on n'en a pas.
[01:21:50.000 --> 01:21:52.000]  On n'en a pas du tout.
[01:21:52.000 --> 01:21:54.000]  Dernière chose, et après, mis à part les questions,
[01:21:54.000 --> 01:21:56.000]  je vous ficherai la paix.
[01:21:56.000 --> 01:21:59.000]  Et on va prendre la question de Nadjad juste après.
[01:21:59.000 --> 01:22:01.000]  Les photos pub portrait.
[01:22:01.000 --> 01:22:06.000]  On a vu se multiplier ces derniers jours des photos pub en portrait
[01:22:06.000 --> 01:22:10.000]  dans Eglantine et donc dans les sites de diffusion.
[01:22:10.000 --> 01:22:12.000]  Il ne faut pas. Pourquoi ?
[01:22:12.000 --> 01:22:13.000]  Je vais vous montrer.
[01:22:13.000 --> 01:22:16.000]  Qu'est-ce que c'est une photo au format portrait ?
[01:22:16.000 --> 01:22:18.000]  Voici un exemple.
[01:22:18.000 --> 01:22:22.000]  Ce n'est pas le bon numéro.
[01:22:22.000 --> 01:22:25.000]  Mathieu Ségouret m'a donné un numéro de Dominique Bender,
[01:22:25.000 --> 01:22:27.000]  alors que ça devait être un numéro de Dominique Cartel.
[01:22:27.000 --> 01:22:29.000]  Ce n'est pas grave.
[01:22:29.000 --> 01:22:31.000]  Donc, ça, c'est une photo au format paysage.
[01:22:31.000 --> 01:22:33.000]  C'est-à-dire le bon format.
[01:22:33.000 --> 01:22:36.000]  Format paysage, regardez la différence.
[01:22:36.000 --> 01:22:38.000]  Quand vous prenez une photo, c'est,
[01:22:38.000 --> 01:22:41.000]  est-ce que vous mettez votre appareil photo à la verticale
[01:22:41.000 --> 01:22:43.000]  ou à l'horizontale ?
[01:22:43.000 --> 01:22:50.000]  Une photo au format portrait, elle a sept formes là.
[01:22:52.000 --> 01:22:56.000]  Une photo au format paysage, elle a sept formes là.
[01:22:56.000 --> 01:23:00.000]  Les photos doivent être au format paysage.
[01:23:00.000 --> 01:23:03.000]  Le format portrait, c'est bien pour les réseaux sociaux,
[01:23:03.000 --> 01:23:07.000]  c'est pas bien pour la diffusion des annonces sur Internet.
[01:23:07.000 --> 01:23:13.000]  Donc, ici Dominique Bender a les bonnes photos au format paysage.
[01:23:13.000 --> 01:23:19.000]  Mais si je prends Dominique Cartel, il m'a donné un autre document.
[01:23:19.000 --> 01:23:22.000]  Mathieu, on voit que lui, il a mis des mailles.
[01:23:22.000 --> 01:23:23.000]  C'est encore Dominique.
[01:23:23.000 --> 01:23:27.000]  Donc, en gros, Mathieu m'a envoyé complètement les mauvais numéros.
[01:23:27.000 --> 01:23:30.000]  Mathieu a envoyé les mauvais numéros.
[01:23:30.000 --> 01:23:35.000]  On va regarder Frédéric, parce que j'ai un exemple de Frédéric.
[01:23:35.000 --> 01:23:37.000]  On va voir ça.
[01:23:37.000 --> 01:23:40.000]  Et Frédéric, non, c'est le format paysage aussi.
[01:23:40.000 --> 01:23:42.000]  Eh ben dis donc Mathieu.
[01:23:42.000 --> 01:23:43.000]  Mathieu a picolé.
[01:23:43.000 --> 01:23:46.000]  Qu'est-ce qu'il me dit ?
[01:23:46.000 --> 01:23:48.000]  Ah, ils ont corrigé depuis.
[01:23:48.000 --> 01:23:52.000]  Mathieu accuse les négociateurs d'avoir corrigé depuis.
[01:23:52.000 --> 01:23:55.000]  Est-ce qu'on y croit, est-ce qu'on n'y croit pas ?
[01:23:55.000 --> 01:23:58.000]  Donc, en gros, est-ce que Mathieu nous dit la vérité
[01:23:58.000 --> 01:24:01.000]  ou est-ce que tout simplement les agents ont agi rapidement pour modifier ?
[01:24:01.000 --> 01:24:03.000]  Dans ce cas-là, bravo à eux parce qu'il faut modifier.
[01:24:03.000 --> 01:24:05.000]  On va aller regarder chez Christian.
[01:24:05.000 --> 01:24:09.000]  Chez Christian, c'est corrigé aussi Mathieu.
[01:24:09.000 --> 01:24:14.000]  Ah non, ça c'est dégueulasse.
[01:24:14.000 --> 01:24:16.000]  Non, ça c'est pas le bon format.
[01:24:16.000 --> 01:24:17.000]  Ça c'est pas le bon format.
[01:24:17.000 --> 01:24:19.000]  Donc on va aller sur alalucan.com.
[01:24:19.000 --> 01:24:21.000]  Voilà, ça c'est pas le bon format.
[01:24:21.000 --> 01:24:23.000]  Donc Mathieu a raison.
[01:24:23.000 --> 01:24:25.000]  Comme toujours, me direz-vous.
[01:24:25.000 --> 01:24:27.000]  Comme toujours, me direz-vous.
[01:24:27.000 --> 01:24:33.000]  Je vais vous acheter et on va chercher la référence.
[01:24:37.000 --> 01:24:41.000]  Quand vous prenez une photo au mauvais format, c'est-à-dire au format vertical,
[01:24:41.000 --> 01:24:44.000]  alors là il y a un deuxième très gros problème et ça on va couper tout de suite.
[01:24:44.000 --> 01:24:47.000]  Ça on va couper tout de suite, tout de suite, tout de suite.
[01:24:47.000 --> 01:24:49.000]  On n'avait pas vu ça.
[01:24:49.000 --> 01:24:52.000]  Mais maintenant que je viens de le voir, j'ai coupé tout de suite.
[01:24:52.000 --> 01:24:56.000]  Donc cette annonce, je la coupe immédiatement.
[01:24:56.000 --> 01:24:58.000]  Pourquoi je la coupe immédiatement ?
[01:24:58.000 --> 01:25:01.000]  Est-ce que quelqu'un a une idée ?
[01:25:01.000 --> 01:25:03.000]  Qu'est-ce qui va pas là ?
[01:25:03.000 --> 01:25:07.000]  Qu'est-ce qui va pas sur cette photo ?
[01:25:07.000 --> 01:25:12.000]  Il y a des personnes sur la photo dont un enfant.
[01:25:12.000 --> 01:25:15.000]  Ça, c'est gravissime.
[01:25:15.000 --> 01:25:17.000]  Ça paraît bête, c'est gravissime.
[01:25:17.000 --> 01:25:19.000]  Donc ce mandat, je le coupe immédiatement.
[01:25:22.000 --> 01:25:25.000]  Ça, c'est vraiment pas bien.
[01:25:25.000 --> 01:25:27.000]  C'est coupé.
[01:25:27.000 --> 01:25:29.000]  Donc au-delà de ce problème-là,
[01:25:29.000 --> 01:25:35.000]  une annonce que vous prenez au format portrait,
[01:25:35.000 --> 01:25:44.000]  internet va bidouiller la photo pour la remettre au format paysage.
[01:25:44.000 --> 01:25:48.000]  Et donc ça met quelque chose de dégueulasse ici, de complètement déformé.
[01:25:48.000 --> 01:25:50.000]  Vous voyez ici, tout est déformé.
[01:25:51.000 --> 01:25:53.000]  Parce qu'il faut que ce soit au format paysage.
[01:25:53.000 --> 01:25:55.000]  Si vous mettez une photo au format portrait,
[01:25:55.000 --> 01:26:00.000]  tous les sites internet dont les Glantines et Alucard et Seulejet et Leboncoin, etc.
[01:26:00.000 --> 01:26:06.000]  vont déformer votre photo pour la forcer à rentrer dans le format paysage.
[01:26:06.000 --> 01:26:11.000]  Donc attention, prenez vos photos à l'horizontale et pas à la verticale.
[01:26:11.000 --> 01:26:14.000]  Et surtout, ne mettez pas des gens sur les photos.
[01:26:14.000 --> 01:26:16.000]  C'est scandaleux, ça.
[01:26:16.000 --> 01:26:17.000]  C'est scandaleux.
[01:26:17.000 --> 01:26:19.000]  Donc ça, j'ai coupé l'annonce,
[01:26:19.000 --> 01:26:22.000]  et puis je vais lui dire que je suis désolé, c'est fini.
[01:26:22.000 --> 01:26:23.000]  Allez, s'il te plait.
[01:26:23.000 --> 01:26:25.000]  L'agence manifestera.
[01:26:25.000 --> 01:26:27.000]  Je suis intransigeant sur ces questions-là.
[01:26:27.000 --> 01:26:28.000]  Intransigeant.
[01:26:28.000 --> 01:26:30.000]  Ça, c'est vraiment...
[01:26:30.000 --> 01:26:31.000]  C'est pas que c'est pas bien.
[01:26:36.000 --> 01:26:37.000]  Pierre dit pas en perdu, mais en attend.
[01:26:37.000 --> 01:26:40.000]  Non, parce que si je mets l'annonce en attente,
[01:26:40.000 --> 01:26:43.000]  l'agent peut la rediffuser lui-même sans rien changer.
[01:26:43.000 --> 01:26:46.000]  Si je la mets en perdu, il est obligé de passer par l'animation.
[01:26:46.000 --> 01:26:50.000]  Et nous, on la remettra en cours quand l'agent aura modifié.
[01:26:51.000 --> 01:26:52.000]  Toujours en parlant de photos,
[01:26:52.000 --> 01:26:54.000]  pourquoi la photo de notre portrait qu'on a fourni depuis un an,
[01:26:54.000 --> 01:26:55.000]  quand on nous l'avait demandé,
[01:26:55.000 --> 01:26:57.000]  il est toujours pas utilisé sur le site à la lucarne ?
[01:26:57.000 --> 01:26:59.000]  Je peux pas vous le dire.
[01:26:59.000 --> 01:27:00.000]  Je sais pas.
[01:27:00.000 --> 01:27:03.000]  Parce que je sais qu'il y a des modifications qui sont en cours sur le site à la lucarne,
[01:27:03.000 --> 01:27:08.000]  notamment dans la prévision des nouveaux sites que Michel vous a présentés à Seltzer Parks.
[01:27:08.000 --> 01:27:10.000]  Je sais que c'est lié.
[01:27:10.000 --> 01:27:11.000]  Donc quelle est la raison exacte ?
[01:27:11.000 --> 01:27:13.000]  Je peux pas vous le dire, mais c'est lié à ça.
[01:27:14.000 --> 01:27:17.000]  Donc, je peux lui demander si vous voulez.
[01:27:17.000 --> 01:27:19.000]  Nadjid avait posé une question.
[01:27:19.000 --> 01:27:23.000]  Quel conseil nous donneriez-vous pour les nouveaux négociateurs dans votre réseau
[01:27:23.000 --> 01:27:26.000]  pour tenir le champ dans les prochains mois et années et persévérer malgré la crise ?
[01:27:26.000 --> 01:27:30.000]  La première chose que je peux vous conseiller, Nadjid,
[01:27:30.000 --> 01:27:34.000]  c'est d'adhérer au programme de montée en gamme qui a été prévu pour ça.
[01:27:34.000 --> 01:27:38.000]  Il a été prévu spécifiquement pour répondre à la crise.
[01:27:38.000 --> 01:27:41.000]  Donc, inscrivez-vous au programme de montée en gamme.
[01:27:41.000 --> 01:27:47.000]  C'est exactement ça qu'on traite au cours de certains programmes de coaching individualisés,
[01:27:47.000 --> 01:27:52.000]  au cours duquel on voit les bonnes actions à mettre en œuvre dans votre secteur
[01:27:52.000 --> 01:27:57.000]  pour justement ne pas résister mais tirer profit de la crise.
[01:27:57.000 --> 01:27:59.000]  Donc, voilà vraiment le conseil que je peux vous donner.
[01:27:59.000 --> 01:28:01.000]  Inscrivez-vous au programme de montée en gamme.
[01:28:01.000 --> 01:28:07.000]  En parlant de photos, est-ce que l'optimisation des photos sur l'églantine a été revue ?
[01:28:07.000 --> 01:28:13.000]  Alors ça, est-ce que vous en avez parlé à Thierry lors de la...
